provider,model_id,id,src,ref,hyp,conf,parse_warnings,timestamp_utc,latency_translate_s,latency_conf_s,input_tokens,output_tokens
anthropic,claude-haiku-4-5-20251001,0,"Customers in Germany will not put up with that, broadly speaking.",Die Kunden in Deutschland werden sich das in der Breite nicht gefallen lassen.,Kunden in Deutschland werden das im Großen und Ganzen nicht akzeptieren.,0.92,,2026-02-26T22:19:36.611344+00:00,0.8115973472595215,0.6565508842468262,227,39
anthropic,claude-haiku-4-5-20251001,1,"""Queensland's community legal centres are chronically underfunded, meaning thousands of people are turned away from the vital services they need,"" he said.","""Queenslands Gemeinderechtszentren sind chronisch unterfinanziert, was bedeutet, dass tausende von Leuten von wichtigen Diensten, die Sie benötigen, abgewiesen werden,"" sagte er.","Queenslands gemeinnÃ¼tzige Rechtszentren sind chronisch unterfinanziert, was bedeutet, dass Tausende von Menschen von den lebenswichtigen Dienstleistungen, die sie benÃ¶tigen, abgewiesen werden",0.45,translation_no_json,2026-02-26T22:19:38.603804+00:00,1.258474349975586,0.7331290245056152,304,80
anthropic,claude-haiku-4-5-20251001,2,Ankara is angry with the West for what it considers a weak response to the attempted takeover.,"Ankara ist auf den Westen wütend, da es dessen Reaktion auf die versuchte Machtübernahme als schwache Antwort betrachtet.","Ankara ist verärgert über die westliche Reaktion, die es als schwach gegenüber dem Putschversuch betrachtet.",0.92,,2026-02-26T22:19:40.444460+00:00,1.012535810470581,0.8275213241577148,252,52
anthropic,claude-haiku-4-5-20251001,3,"A Lille court ruled there was no legal basis for expelling the people running the 72 makeshift shops, but said the Calais prefect's concerns ""were totally understandable.""","Ein Gericht in Lille entschied, dass es keine rechtliche Grundlage für die Ausweisung von Leuten gäbe, die die 72 provisorischen Geschäfte betreiben, aber räumte ein, dass die Bedenken der Präfektur von Calais ""absolut nachvollziehbar seien.""","Ein Gericht in Lille entschied, dass es keine rechtliche Grundlage für die Vertreibung der Betreiber der 72 provisorischen Geschäfte gab, sagte aber, dass die Bedenken des Präfekten von Calais ""völlig verständlich waren"".",0.92,,2026-02-26T22:19:42.308862+00:00,1.0294384956359863,0.8343915939331055,333,93
anthropic,claude-haiku-4-5-20251001,4,We live in a service economy.,Wir leben in einer Dienstleistungswirtschaft.,Wir leben in einer Dienstleistungswirtschaft.,0.95,,2026-02-26T22:19:43.832487+00:00,0.7078115940093994,0.8151707649230957,208,34
anthropic,claude-haiku-4-5-20251001,5,"We must bring more affordable and accessible gymnastics training to the communities of countless young girls who are inspired by Simone, Gabby and Laurie.","Wir müssen den Gemeinden aun unzähligen, jungen Mädchen, die von Simone, Gabby und Laurie inspiriert werden, ein leistbareres und leichter zugängliches Turntrainung ermöglichen.","Wir müssen mehr erschwingliches und zugängliches Gymnastics-Training in die Gemeinden von unzähligen jungen Mädchen bringen, die von Simone, Gabby und Laurie inspiriert sind.",0.85,,2026-02-26T22:19:45.657484+00:00,1.1620464324951172,0.6623930931091309,301,75
anthropic,claude-haiku-4-5-20251001,6,"Some media outlets dubbed him ""Robel the whale"".","Einige Medien bezeichneten ihn als ""Robel der Wal"".","Einige Medienunternehmen nannten ihn ""Robel der Wal"".",0.95,,2026-02-26T22:19:47.468922+00:00,0.9615969657897949,0.8492472171783447,226,43
anthropic,claude-haiku-4-5-20251001,7,But they always have in the back of their mind that a new group of refugees and migrants could soon be arriving in Urbach.,"Dabei haben sie immer im Hintergrund, dass bald ein neuer Stoß an Flüchtlingen und Migranten nach Urbach kommen könnte.","Aber sie haben immer im Hinterkopf, dass bald eine neue Gruppe von Flüchtlingen und Migranten in Urbach ankommen könnte.",0.92,,2026-02-26T22:19:49.375720+00:00,1.0520336627960205,0.854161262512207,273,59
anthropic,claude-haiku-4-5-20251001,8,"""I realized it was the coffee and the culture at Verb that I liked,"" she said.","""Mir wurde klar, dass es am Kaffee und an der Kultur im Verb lag, die mir gefiel,"" sagte sie.","""Mir wurde klar, dass mir der Kaffee und die Kultur bei Verb gefallen"", sagte sie.",0.92,,2026-02-26T22:19:50.854322+00:00,0.8044910430908203,0.673485517501831,246,47
anthropic,claude-haiku-4-5-20251001,9,"But nevertheless, there were some breathtaking volleys to be seen.",Doch waren nichtsdestotrotz ausreichend atemberaubende Ballwechsel zu sehen.,Aber dennoch gab es einige atemberaubende Volleys zu sehen.,0.92,,2026-02-26T22:19:52.442566+00:00,0.925076961517334,0.6625995635986328,228,38
anthropic,claude-haiku-4-5-20251001,10,"But, even on the off-chance that Ms Jenner - who is described by the magazine as the ""breakout model"" of her generation - falls into the former category, she is in pretty good company.","Aber selbst bei der geringen Chance, dass Frau Jenner - die von der Zeitschrift als das ""Durchbruchmodel"" ihrer Generation beschrieben wird - unter die frühere Kategorie fällt, befindet sie sich in guter Gesellschaft.",Aber selbst wenn Ms. Jenner â die vom Magazin als das âÃberraschungsmodel,0.15,translation_no_json,2026-02-26T22:19:54.311775+00:00,1.0777480602264404,0.7907817363739014,292,76
anthropic,claude-haiku-4-5-20251001,11,"""The benefits of the restructuring programme will only become visible after 5 years,"" he said.","""Die Früchte der Umstrukturierung sind aber auch nach 5 Jahren noch nicht zu sehen"", hieß es.",âDie Vorteile des Umstrukturierungsprogramms werden erst nach 5 Jahren sichtbar,0.92,translation_no_json,2026-02-26T22:19:55.752573+00:00,0.766883134841919,0.6731953620910645,248,50
