id,src,ref,hyp,conf,parse_warnings,timestamp_utc
0,"Customers in Germany will not put up with that, broadly speaking.",Die Kunden in Deutschland werden sich das in der Breite nicht gefallen lassen.,Kunden in Deutschland werden das im Großen und Ganzen nicht dulden.,0.98,,2026-02-26T23:56:18.358717+00:00
1,"""Queensland's community legal centres are chronically underfunded, meaning thousands of people are turned away from the vital services they need,"" he said.","""Queenslands Gemeinderechtszentren sind chronisch unterfinanziert, was bedeutet, dass tausende von Leuten von wichtigen Diensten, die Sie benötigen, abgewiesen werden,"" sagte er.","Die kommunalen Rechtsberatungsstellen in Queensland sind chronisch unterfinanziert, was bedeutet, dass Tausende von Menschen von den lebenswichtigen Diensten, die sie benÃ¶tigen, abgewiesen werden",0.02,translation_no_json;confidence_no_json;confidence_from_regex,2026-02-26T23:56:22.068809+00:00
2,Ankara is angry with the West for what it considers a weak response to the attempted takeover.,"Ankara ist auf den Westen wütend, da es dessen Reaktion auf die versuchte Machtübernahme als schwache Antwort betrachtet.","Ankara ist wütend auf den Westen wegen dessen, was es für eine schwache Reaktion auf den versuchten Putsch hält.",0.95,confidence_no_json;no_confidence_found;confidence_repaired,2026-02-26T23:56:27.466939+00:00
3,"A Lille court ruled there was no legal basis for expelling the people running the 72 makeshift shops, but said the Calais prefect's concerns ""were totally understandable.""","Ein Gericht in Lille entschied, dass es keine rechtliche Grundlage für die Ausweisung von Leuten gäbe, die die 72 provisorischen Geschäfte betreiben, aber räumte ein, dass die Bedenken der Präfektur von Calais ""absolut nachvollziehbar seien.""","Ein Gericht in Lille entschied, dass es keine Rechtsgrundlage fÃ¼r die Vertreibung der Betreiber der 72 provisorischen GeschÃ¤fte gab, sagte aber, die Bedenken des PrÃ¤fekten von Calais seien ""v",0.73,translation_no_json,2026-02-26T23:56:31.465935+00:00
4,We live in a service economy.,Wir leben in einer Dienstleistungswirtschaft.,Wir leben in einer Dienstleistungswirtschaft.,0.99,,2026-02-26T23:56:34.813128+00:00
5,"We must bring more affordable and accessible gymnastics training to the communities of countless young girls who are inspired by Simone, Gabby and Laurie.","Wir müssen den Gemeinden aun unzähligen, jungen Mädchen, die von Simone, Gabby und Laurie inspiriert werden, ein leistbareres und leichter zugängliches Turntrainung ermöglichen.","Wir müssen mehr erschwingliches und zugängliches Turntraining in die Gemeinden unzähliger junger Mädchen bringen, die von Simone, Gabby und Laurie inspiriert sind.",0.73,,2026-02-26T23:56:38.014946+00:00
6,"Some media outlets dubbed him ""Robel the whale"".","Einige Medien bezeichneten ihn als ""Robel der Wal"".","Einige Medien nannten ihn ""Robel der Wal"".",0.9,confidence_no_json;no_confidence_found;confidence_repaired,2026-02-26T23:56:42.556258+00:00
7,But they always have in the back of their mind that a new group of refugees and migrants could soon be arriving in Urbach.,"Dabei haben sie immer im Hintergrund, dass bald ein neuer Stoß an Flüchtlingen und Migranten nach Urbach kommen könnte.","Aber sie haben immer im Hinterkopf, dass bald eine neue Gruppe von Flüchtlingen und Migranten in Urbach ankommen könnte.",0.73,,2026-02-26T23:56:45.284710+00:00
8,"""I realized it was the coffee and the culture at Verb that I liked,"" she said.","""Mir wurde klar, dass es am Kaffee und an der Kultur im Verb lag, die mir gefiel,"" sagte sie.","Ich merkte, dass es der Kaffee und die Kultur bei Verb waren, die mir gefielen"", sagte sie.",0.95,confidence_no_json;no_confidence_found;confidence_repaired,2026-02-26T23:56:50.625759+00:00
9,"But nevertheless, there were some breathtaking volleys to be seen.",Doch waren nichtsdestotrotz ausreichend atemberaubende Ballwechsel zu sehen.,Doch gab es dennoch einige atemberaubende Volleys zu sehen.,0.95,confidence_no_json;no_confidence_found;confidence_repaired,2026-02-26T23:56:55.791457+00:00
