id,provider,model_id,difficulty_bucket,src,ref,hyp,conf,chrf,bleu,error_within_model_q20,parse_warnings,audit_label,annotator_id,notes
148,anthropic,claude-haiku-4-5-20251001,Q2,"'Needless to say, there was no disrespect intended and I'm very sorry.'","Natürlich war keine Missachtung beabsichtigt und es tut mir sehr leid.""","Needless to say, there was no disrespect intended and I'm very sorry.",1.0,9.979187318453029,2.8398387225677895,1,,,,
123,anthropic,claude-sonnet-4-5-20250929,Q1,Sounds tricky?,Klingt schwierig?,Klingt knifflig?,0.98,32.896970486118285,34.66806371753173,1,,,,
9,anthropic,claude-sonnet-4-5-20250929,Q1,"But nevertheless, there were some breathtaking volleys to be seen.",Doch waren nichtsdestotrotz ausreichend atemberaubende Ballwechsel zu sehen.,Aber dennoch gab es einige atemberaubende Volleys zu sehen.,0.98,35.359661412600474,16.784459625186194,1,,,,
414,anthropic,claude-sonnet-4-5-20250929,Q2,The Union and the SPD are consequently focusing more and more on the issue of security.,Union und SPD bringen sich beim Thema innere Sicherheit daher zunehmend in Stellung.,Die Union und die SPD konzentrieren sich folglich immer mehr auf das Thema Sicherheit.,0.98,35.56714645754528,7.188959550044094,1,,,,
310,anthropic,claude-sonnet-4-5-20250929,Q2,This means that the heat lost per gram of a mouse is much bigger than that lost per gram of an elephant.,Der Wärmeverlust von einem Gramm Maus ist daher viel größer als bei einem Gramm Elefant.,"Das bedeutet, dass die Wärme, die pro Gramm einer Maus verloren geht, viel größer ist als die, die pro Gramm eines Elefanten verloren geht.",0.98,36.18872442397005,3.639374222382003,1,,,,
110,anthropic,claude-opus-4-6,Q1,"However, volunteers are already aware of this.",Sensibilisiert seien die Helfer aber schon.,Die Freiwilligen sind sich dessen jedoch bereits bewusst.,0.97,17.969517296500513,4.767707020457095,1,,,,
59,anthropic,claude-opus-4-6,Q1,This is generally used by large US banks.,Das nutzen gerade große US-Banken.,Dies wird im Allgemeinen von großen US-Banken verwendet.,0.97,31.323318516523894,5.669791110976001,1,,,,
445,anthropic,claude-opus-4-6,Q3,"Being able to show yourself that by practising for a long time, you can improve and grow - this experience gives you strength.","Sich selbst zu zeigen: Wenn ich lange für etwas übe, werde ich besser und wachse über mich hinaus - diese Erfahrung stärkt.","Sich selbst zeigen zu können, dass man sich durch langes Üben verbessern und wachsen kann – diese Erfahrung gibt einem Kraft.",0.97,39.48938063866591,5.229148076687639,1,,,,
266,anthropic,claude-opus-4-6,Q1,It is still apparently unclear who is behind the attacks.,"Noch sei unklar, welche Gruppe hinter den Anschlägen stecke.","Es ist offenbar noch unklar, wer hinter den Angriffen steckt.",0.97,40.49606210887279,10.127993013562818,1,,,,
19,anthropic,claude-opus-4-6,Q1,"All told, this is ""a mammoth task"".","Das alles sei schon eine ""Mammutaufgabe"".","Alles in allem ist das ""eine Mammutaufgabe"".",0.97,42.54431316842323,17.747405280050266,1,,,,
392,anthropic,claude-sonnet-4-5-20250929,Q1,She is on a roll.,Sie hat einen Lauf.,Sie ist gerade richtig in Fahrt.,0.95,16.577170449741864,7.809849842300641,1,,,,
