id,src,ref,hyp,conf,parse_warnings,timestamp_utc
0,"Customers in Germany will not put up with that, broadly speaking.",Die Kunden in Deutschland werden sich das in der Breite nicht gefallen lassen.,Kunden in Deutschland werden das allgemein gesprochen nicht hinnehmen.,0.62,,2026-02-26T20:24:08.999907+00:00
1,"""Queensland's community legal centres are chronically underfunded, meaning thousands of people are turned away from the vital services they need,"" he said.","""Queenslands Gemeinderechtszentren sind chronisch unterfinanziert, was bedeutet, dass tausende von Leuten von wichtigen Diensten, die Sie benötigen, abgewiesen werden,"" sagte er.","„Die Community-Law-Centres in Queensland sind chronisch unterfinanziert, sodass Tausende von Menschen von den lebenswichtigen Dienstleistungen, die sie benötigen, weggeschickt werden“, sagte er.",0.45,,2026-02-26T20:24:11.816008+00:00
2,Ankara is angry with the West for what it considers a weak response to the attempted takeover.,"Ankara ist auf den Westen wütend, da es dessen Reaktion auf die versuchte Machtübernahme als schwache Antwort betrachtet.","Ankara ist über den Westen verärgert, weil es die Reaktion auf den versuchten Putschversuch für schwach hält.",0.42,,2026-02-26T20:24:16.743691+00:00
3,"A Lille court ruled there was no legal basis for expelling the people running the 72 makeshift shops, but said the Calais prefect's concerns ""were totally understandable.""","Ein Gericht in Lille entschied, dass es keine rechtliche Grundlage für die Ausweisung von Leuten gäbe, die die 72 provisorischen Geschäfte betreiben, aber räumte ein, dass die Bedenken der Präfektur von Calais ""absolut nachvollziehbar seien.""","Ein Gericht in Lille erklärte, es bestehe keine rechtliche Grundlage für die Räumung der Personen, die die 72 provisorischen Stände betreiben, sagte jedoch, die Bedenken des Präfekten von Calais seien „völlig verständlich“.",0.95,,2026-02-26T20:24:20.006847+00:00
4,We live in a service economy.,Wir leben in einer Dienstleistungswirtschaft.,Wir leben in einer Dienstleistungsgesellschaft.,0.9,,2026-02-26T20:24:22.356186+00:00
5,"We must bring more affordable and accessible gymnastics training to the communities of countless young girls who are inspired by Simone, Gabby and Laurie.","Wir müssen den Gemeinden aun unzähligen, jungen Mädchen, die von Simone, Gabby und Laurie inspiriert werden, ein leistbareres und leichter zugängliches Turntrainung ermöglichen.","Wir müssen bezahlbareres und leichter zugängliches Gerätturntraining in die Gemeinschaften unzähliger junger Mädchen bringen, die von Simone, Gabby und Laurie inspiriert sind.",0.86,,2026-02-26T20:24:25.484873+00:00
6,"Some media outlets dubbed him ""Robel the whale"".","Einige Medien bezeichneten ihn als ""Robel der Wal"".",Einige Medien gaben ihm den Spitznamen „Robel der Wal“.} PMID: None.,0.98,,2026-02-26T20:24:28.107441+00:00
7,But they always have in the back of their mind that a new group of refugees and migrants could soon be arriving in Urbach.,"Dabei haben sie immer im Hintergrund, dass bald ein neuer Stoß an Flüchtlingen und Migranten nach Urbach kommen könnte.","Aber sie haben immer im Hinterkopf, dass bald eine neue Gruppe von Flüchtlingen und Migranten in Urbach eintreffen könnte.",0.98,,2026-02-26T20:24:30.435619+00:00
8,"""I realized it was the coffee and the culture at Verb that I liked,"" she said.","""Mir wurde klar, dass es am Kaffee und an der Kultur im Verb lag, die mir gefiel,"" sagte sie.","„Ich merkte, dass es der Kaffee und die Kultur bei Verb waren, die mir gefielen“, sagte sie.",0.95,,2026-02-26T20:24:33.021585+00:00
9,"But nevertheless, there were some breathtaking volleys to be seen.",Doch waren nichtsdestotrotz ausreichend atemberaubende Ballwechsel zu sehen.,Aber dennoch gab es einige atemberaubende Ballwechsel zu sehen.,0.92,,2026-02-26T20:24:35.503930+00:00
10,"But, even on the off-chance that Ms Jenner - who is described by the magazine as the ""breakout model"" of her generation - falls into the former category, she is in pretty good company.","Aber selbst bei der geringen Chance, dass Frau Jenner - die von der Zeitschrift als das ""Durchbruchmodel"" ihrer Generation beschrieben wird - unter die frühere Kategorie fällt, befindet sie sich in guter Gesellschaft.","Aber selbst wenn Frau Jenner — die von dem Magazin als das „Durchbruch-Model“ ihrer Generation beschrieben wird — zufällig in die erstgenannte Kategorie fällt, ist sie in ziemlich guter Gesellschaft.",0.54,,2026-02-26T20:24:38.096513+00:00
11,"""The benefits of the restructuring programme will only become visible after 5 years,"" he said.","""Die Früchte der Umstrukturierung sind aber auch nach 5 Jahren noch nicht zu sehen"", hieß es.","„Die Vorteile des Restrukturierungsprogramms werden erst nach fünf Jahren sichtbar werden“, sagte er.",0.92,,2026-02-26T20:24:42.105223+00:00
12,"The Comite River near Baton Rouge and Amite River near Denham Springs, both in Louisiana, were predicted to set record crests over the weekend.","Der Fluss Comite in der Nähe Baton Rouges und der Fluss Amite in der Nähe Denham Springs, die sich beide in Louisiana befinden, werden aller Wahrscheinlichkeit nach über das Wochenende Rekordpegel erreichen.","Der Comite River in der Nähe von Baton Rouge und der Amite River in der Nähe von Denham Springs, beide in Louisiana, sollten am Wochenende Rekordstände erreichen.",0.95,,2026-02-26T20:24:44.761935+00:00
13,Mr Fitzpatrick said that the three sons had all lived at the property at different times but said they were all in their 20s.,"Fitzpatrick sagte, dass alle drei Söhne zu unterschiedlichen Zeiten in dem Haus gelebt hätten, aber dass sie alle über 20 seien.","Mr. Fitzpatrick sagte, dass die drei Söhne zu unterschiedlichen Zeiten alle in dem Haus gelebt hätten, fügte jedoch hinzu, dass sie alle in ihren 20ern seien.",0.97,,2026-02-26T20:24:47.510562+00:00
14,Frankie Dettori celebrated the milestone with a trademark flying dismount,Frankie Dettori feierte den Meilenstein mit einem typischen Flying Dismount,Frankie Dettori feierte den Meilenstein mit seinem typischen fliegenden Abgang.,0.95,,2026-02-26T20:24:50.146986+00:00
15,"""With everything else that's going wrong with the world, he was that diamond in the rough that was shining bright every day,"" he said.","""Bei allem, was in der Welt schief läuft, war er dieser ungeschliffene Diamant, der jeden Tag hell leuchtete,"" sagte er.","„Mit allem anderen, was in der Welt schiefgeht, war er dieser Diamant im Rohzustand, der jeden Tag hell leuchtete“, sagte er.",0.85,,2026-02-26T20:24:52.986761+00:00
16,"This warms the surface and produces rain that creates a thick layer of clouds, which acts like an umbrella to shield the surface from much of the solar heating.","Dies erwärmt die Oberfläche und produziert Regen, das eine dicke Schicht Wolken erschafft, was wie ein Regenschirm wirkt, um die Oberfläche von einem Großteil der Sonnenwärme abzuschirmen.","Dies erwärmt die Oberfläche und führt zu Regen, der eine dicke Wolkenschicht bildet, die wie ein Regenschirm wirkt und die Oberfläche vor einem großen Teil der Sonneneinstrahlung schützt.",0.95,,2026-02-26T20:24:55.692789+00:00
17,"As said, people prepared to build on these sites should apply in the town hall from now, and the communal council will probably discuss giving out the plots in its September meeting.","Wie es hieß, können sich Bauwillige ab sofort im Rathaus melden, über die Vergabe der Parzellen wird der Gemeinderat voraussichtlich in seiner September-Sitzung beraten.","Wie gesagt, wer bereit ist, auf diesen Grundstücken zu bauen, soll sich ab sofort im Rathaus melden, und der Gemeinderat wird die Vergabe der Parzellen wahrscheinlich in seiner Sitzung im September beraten.",0.98,,2026-02-26T20:24:59.034627+00:00
18,"In particular, older people who live alone can practice how to focus on people other than themselves.","Gerade ältere Menschen, die allein leben, üben so, sich nicht nur auf sich selbst zu konzentrieren.","Insbesondere ältere Menschen, die allein leben, können üben, sich auf andere Menschen statt auf sich selbst zu konzentrieren.",0.98,,2026-02-26T20:25:01.497470+00:00
19,"All told, this is ""a mammoth task"".","Das alles sei schon eine ""Mammutaufgabe"".",Alles in allem ist dies eine „riesige Aufgabe“.},0.84,,2026-02-26T20:25:03.928036+00:00
20,"'She didn't try to find anywhere discreet to do it - she just stood there, bold as brass.'","""Sie versuchte nicht einmal einen etwas diskreteren Ort zu finden, um es zu tun - sie stand einfach da, frech wie Oskar.""","Sie versuchte nicht, einen diskreten Ort dafür zu finden – sie stand einfach da, frech wie Oskar.",0.85,,2026-02-26T20:25:06.626299+00:00
21,His sample swab showed a luminometer count of over 4000 units.,Sein Probeabstrich zeigte eine Luminometerzahl von über 4000 Einheiten.,Sein Probenabstrich zeigte einen Luminometer-Wert von über 4000 Einheiten.,0.95,,2026-02-26T20:25:09.246537+00:00
22,"One reason for not all neighbours seeing this as a problem could be that they are not directly affected by crime: according to statistics, almost all crimes such as bodily harm are directed against the police.","Ein Grund dafür, dass nicht alle Nachbarn das als Problem ansehen, könnte sein, dass sie von der Kriminalität nicht unbedingt betroffen sind: Straftaten wie Körperverletzung richten sich Statistiken zufolge fast ausschließlich gegen Polizisten.","Ein Grund dafür, dass nicht alle Nachbarn dies als Problem ansehen, könnte sein, dass sie nicht unmittelbar von Kriminalität betroffen sind: Laut Statistik richten sich fast alle Straftaten, wie etwa Körperverletzungen, gegen die Polizei.",0.12,,2026-02-26T20:25:11.881461+00:00
23,"Instead, Kempinski Bristol offers an opportunity to dial Israel via an own call center.","Stattdessen bietet das Kempinksi Bristol eine Möglichkeit, Israel über ein eigenes Call Center anzuwählen.","Stattdessen bietet das Kempinski Bristol die Möglichkeit, Israel über ein eigenes Callcenter anzurufen.",0.9,,2026-02-26T20:25:14.253762+00:00
24,Brilliant all over.,Auf ganzer Linie brilliant.,Überall brillant.,0.85,,2026-02-26T20:25:16.658465+00:00
25,"At their peak spin rates, these maturing stars eject large amounts of stellar wind.",Zu Spitzenrotationsraten stoßen diese reifenden Sterne große Mengen an Sternwinden aus.,Bei ihren maximalen Rotationsraten schleudern diese heranreifenden Sterne große Mengen Sternwind aus.,0.95,,2026-02-26T20:25:19.136724+00:00
26,I have thought long and hard over the course of the summer about how I might improve this team to give it the depth it needs and bring it to a higher level.,"Ich habe im Laufe des Sommers lange und viel darüber nachgedacht, wie ich dieses Team verbessern könnte, um ihm mehr Tiefe zu verleihen, dies es benötigt und es auf ein höheres Niveau zu bringen.","Ich habe im Laufe des Sommers lange und gründlich darüber nachgedacht, wie ich dieses Team verbessern kann, um ihm die nötige Tiefe zu geben und es auf ein höheres Niveau zu bringen.",0.97,,2026-02-26T20:25:21.846326+00:00
27,No arrests have been made and police are reportedly reviewing surveillance video.,Es kam zu keinen Festnahmen und die Polizei überprüft derzeit Berichten zufolge das Überwachungsvideo.,"Es wurden keine Festnahmen vorgenommen, und die Polizei überprüft Berichten zufolge Überwachungsvideos.",0.95,,2026-02-26T20:25:24.020568+00:00
28,"Current chairman, Breitbrunn's mayoress Gertrud Bühl (FW), looks back to when Ruper Göller was brought on as a water officer in 1985, and was promoted to Managing Director of the Association as soon as 1988.","Die aktuelle Vorsitzende, Breitbrunns Bürgermeisterin Gertrud Bühl (FW), erinnerte daran, dass Rupert Göller 1985 als Wasserwart eingestellt und schon 1988 zum Geschäftsführer des Zweckverbandes ernannt wurde.","Die derzeitige Vorsitzende, die Bürgermeisterin von Breitbrunn Gertrud Bühl (FW), erinnert sich daran, dass Ruper Göller 1985 als Wasserwart eingestellt wurde und bereits 1988 zum Geschäftsführer des Verbands befördert wurde.",0.92,,2026-02-26T20:25:27.063097+00:00
29,"The last German tennis player to win was Tommy Haas, who took the silver medal in Sydney in 2000.",Als letzter deutscher Tennisprofi hatte Tommy Haas 2000 in Sydney eine Medaille (Silber) geholt.,"Der letzte deutsche Tennisspieler, der gewann, war Tommy Haas, der 2000 in Sydney die Silbermedaille gewann.",0.74,,2026-02-26T20:25:29.818563+00:00
30,"With 5 percent, the FPD could hope to return, but the Pirates, by contrast, would miss out - unlike in 2011.","Mit 5 Prozent könnte die FDP auf eine Rückkehr hoffen, die Piraten würden dagegen im Gegensatz zu 2011 den Einzug verpassen.","Mit fünf Prozent könnte die FPD hoffen zurückzukehren, die Piraten hingegen würden leer ausgehen – anders als 2011.",0.9,,2026-02-26T20:25:41.530107+00:00
31,"There will not be a more emotive gold at these games, and that is saying something.",Es wird kein emotinaleres Gold als bei diesen Spielen geben und das will was heißen.,Bei diesen Spielen wird es kein gefühlsaufgeladenes Gold geben — und das will etwas heißen.,0.88,,2026-02-26T20:25:43.997527+00:00
32,"Ex-Cabinet minister Sir Eric Pickles lambasts the police, election watchdogs and town halls for ignoring evidence of electoral abuse because of ""over-sensitivities about ethnicity and religion.""","Das ehemalige Kabinettsmitglied Sir Eric Pickles greift verbal die Polizei, Wahlbeobachter und Rathäuser dafür an, Beweise von Wahlmissbrauch aufgrund von ""Überempfindlichkeiten bezüglich Ethnie und Religion"" ignoriert zu haben.","Der ehemalige Kabinettsminister Sir Eric Pickles schimpft auf die Polizei, Wahlaufseher und Rathäuser, weil sie Beweise für Wahlmissbrauch ignorierten wegen „Überempfindlichkeiten hinsichtlich Ethnie und Religion“.",0.92,,2026-02-26T20:25:47.288000+00:00
33,"She views herself as a point-of-contact for all involved: refugees, people from the working group for refugees, administrators, authorities, and anyone else.","Sie sieht sich als Ansprechpartnerin für alle Akteure: Flüchtlinge, Arbeitskreis Flüchtlingshilfe, Verwaltung, Behörden und wer sonst noch mitmischt.","Sie sieht sich selbst als Ansprechpartnerin für alle Beteiligten: Geflüchtete, Personen aus der Arbeitsgruppe für Geflüchtete, Verwaltungsangestellte, Behörden und alle anderen.",0.95,,2026-02-26T20:25:49.921527+00:00
34,"The federal government will cut funding by 30 per cent from June 2017, which means thousands more vulnerable Queenslanders will be forced to navigate complex legal problems without help.","Die Bundesregierung wird ab Juni 2017 die Mittel um 30 Prozent kürzen, was bedeutet, dass tausende von hilsbedürftigeren Leuten aus Queensland gezwungen sein werden, mit ihren rechtlichen Problemen ohne jegliche Hilfe zurechtzukommen.","Die Bundesregierung wird ab Juni 2017 die Finanzierung um 30 Prozent kürzen, was bedeutet, dass tausende weitere schutzbedürftige Queenslander gezwungen sein werden, komplexe rechtliche Probleme ohne Hilfe zu bewältigen.",0.96,,2026-02-26T20:25:52.754656+00:00
35,"However, the largest challenge and most difficult shift was when the pipe broke on the Kirchlauter elevated tank on 3 January one year.",Die größte Herausforderung und der schwierigste Einsatz waren aber der Rohrbruch am Hochbehälter bei Kirchlauter an einem 3. Januar.,"Die größte Herausforderung und die schwierigste Umstellung war jedoch, als am 3. Januar eines Jahres die Rohrleitung am Hochbehälter Kirchlauter brach.",0.92,,2026-02-26T20:25:55.560932+00:00
36,"Even in this field a few studies showed that woman reacted more sensitively to infants, regardless of whether they had their own children or not, the biologist Marina Scheumann reported.","Auch dabei zeigten einige Studien, dass Frauen sensitiver auf Säuglinge reagierten, ganz gleich ob sie bereits Mütter waren oder nicht, berichtete die Biologin Marina Scheumann.","Selbst in diesem Bereich zeigten einige Studien, dass Frauen sensibler auf Säuglinge reagierten, unabhängig davon, ob sie eigene Kinder hatten oder nicht, berichtete die Biologin Marina Scheumann.",0.92,,2026-02-26T20:25:58.105512+00:00
37,Muslim migrants or migrants from the Middle East were vilified in an extremist manner.,So werden Zuwanderer islamischen Glaubens oder aus dem Nahen Osten in extremistischer Weise diffamiert.,Muslimische Migranten oder Migranten aus dem Nahen Osten wurden auf extremistische Weise verteufelt.,0.92,,2026-02-26T20:26:00.364134+00:00
38,"Though trampoline has been an Olympic event since 2000, when it debuted at the Sydney Games, it has spent the intervening 16 years so barely acknowledged that many I surveyed did not realize it was an Olympic sport at all.","Obwohl das Trampolinspringen bereits seit 2000 ein olympisches Ereignis ist, als es in Sydney sein Debüt hatte, wurde es die letzten 16 Jahre so spärlich wahrgenommen, dass viele die, ich befragt hatte, nicht wussten, dass es überhaupt eine Olympiasportart ist.","Obwohl Trampolin seit den Olympischen Spielen 2000 in Sydney eine olympische Disziplin ist, wurde es in den darauf folgenden 16 Jahren so kaum beachtet, dass viele der von mir Befragten gar nicht realisierten, dass es sich überhaupt um eine olympische Sportart handelt.",0.85,,2026-02-26T20:26:03.354977+00:00
39,"Ethiopia is the second most populous nation in Africa, after Nigeria, and its stability is cherished by the West.",Äthiopien ist nach Nigeria das bevölkerungsreichste Land Afrikas und seine Stabilität wird vom Westen geschätzt.,"Äthiopien ist nach Nigeria das zweitbevölkerungsreichste Land Afrikas, und seine Stabilität wird vom Westen hoch geschätzt.",0.95,,2026-02-26T20:26:06.272709+00:00
40,"""Shame on you,"" another post stated, pointing out that the hotel, located in the noble Kurfurstendamm street stands near a synagogue.","""Schämt Euch,"" hieß es in einem anderen Beitrag, in dem darauf hingewiesen wurde, dass das Hotel, das sich am noblen Kurfürstendamm befindet, in der Nähe einer Synagoge steht.","„Schäm dich,“ schrieb ein weiterer Beitrag und wies darauf hin, dass das Hotel in der noblen Kurfürstendammstraße in der Nähe einer Synagoge liegt.",0.95,,2026-02-26T20:26:11.165023+00:00
41,"It can absolutely be the case that additional right-wing terrorist groups or small gatherings come to exist, and plan attacks on asylum seekers, refugee shelters, or for other far-right motives.","Es kann durchaus sein, dass sich weitere rechtsterroristische Gruppierungen oder Kleinstgruppen bilden, die Anschläge gegen Asylsuchende, gegen Flüchtlingsheime oder Attacken aus anderen rechtsextremistischen Motiven planen.","Es kann durchaus vorkommen, dass weitere rechtsextreme Terrorgruppen oder kleinere Zusammenrottungen entstehen und Anschläge auf Asylsuchende, Flüchtlingsunterkünfte oder aus anderen rechtsextremen Motiven planen.",0.95,,2026-02-26T20:26:15.463167+00:00
42,Republican presidential candidate Donald Trump has run a controversial campaign.,Der republikanische Präsidentschaftskandidat Donald Trump hat bisher eine kontroverse Kampagne geführt.,Der republikanische Präsidentschaftskandidat Donald Trump hat eine umstrittene Kampagne geführt.,0.98,,2026-02-26T20:26:18.530374+00:00
43,"She said: ""In light of this, the JDC Executive has voted to reject the proposed new contract in full and to call for formal re-negotiations on all of your concerns.""","Sie sagte:""In Anbetracht dessen hat der JDC Vorstand abgestimmt, den vorgeschlagenen neuen Vertrag vollständig abzulehnen und offizielle Neuverhandlungen zu all Euren Sorgen angefordert.""","Sie sagte: „In Anbetracht dessen hat die JDC-Führung beschlossen, den vorgeschlagenen neuen Vertrag insgesamt abzulehnen und formelle Nachverhandlungen zu all Ihren Anliegen zu fordern.“",0.92,,2026-02-26T20:26:21.186651+00:00
44,His wife told Hansford that it's the highest she's seen the creek in the 48 years she's lived there.,"Seine Frau sagte Hansford, dass sie in den 48 Jahren, in denen sie dort lebte, noch nie einen solchen Hochstand des Flusses gesehen hätte.","Seine Frau sagte Hansford, dass sie den Bach in den 48 Jahren, die sie dort lebt, noch nie so hoch gesehen habe.",0.96,,2026-02-26T20:26:23.608319+00:00
45,"The shooting stars are the Perseids: some of the quickest shooting stars, travelling at 216000 kilometres an hour.","Bei den Sternschuppen handelt es sich um Perseiden, die mit 216000 Kilometern pro Stunde zu den schnellsten Sternschnuppen gehören.","Die Sternschnuppen sind die Perseiden: einige der schnellsten Sternschnuppen, die mit 216.000 Kilometern pro Stunde unterwegs sind.",0.88,,2026-02-26T20:26:26.447049+00:00
46,"'I was referring to a swimmer's performance, and not to them as a person.'","""Ich habe mich auf die Leistung der Schwimmerin und nicht auf sie als Person bezogen.""",Ich bezog mich auf die Leistung eines Schwimmers und nicht auf ihn als Person.,0.88,,2026-02-26T20:26:28.839775+00:00
47,"So it appears that there were multiple armed combatants out here and that they were actively engaged,"" Philadelphia police Captain Anthony Ginaldi told the station.","So scheint es hier mehrere bewaffnete Kämpfer gegeben zu haben, die sehr aktiv beteiligt waren,"" teilte Polizeihautpmann Anthony Ginaldi der Polizei in Philadelphia dem Sender mit.","„Es scheint also, dass sich hier mehrere bewaffnete Kämpfer aufhielten und dass sie aktiv beteiligt waren“, sagte der Philadelphia-Polizeichef Anthony Ginaldi gegenüber dem Sender.",0.92,,2026-02-26T20:26:31.608638+00:00
48,"Justin Gatlin (100, 200, 4x100m relay/USA): The 34-year-old is one of the most controversial track athletes.","Justin Gatlin (100, 200, 4x100-m-Staffel/USA): Der 34-Jährige gehört zu den umstrittensten Figuren in der Leichtathletik.","Justin Gatlin (100, 200, 4x100-m-Staffel/USA): Der 34-Jährige ist einer der umstrittensten Leichtathleten.",0.9,,2026-02-26T20:26:51.856351+00:00
49,Multiple houses and vehicles in the area were also struck.,Es wurden auch mehrere Häuser und Fahrzeuge in dem Gebiet getroffen.,Mehrere Häuser und Fahrzeuge in der Gegend wurden ebenfalls getroffen.,0.95,,2026-02-26T20:26:54.666321+00:00
50,"Ms. Ziegelman recalled: ""She actually got people sick.""","Ziegelman erinnerte sich: ""Sie machte Leute tatsächlich krank.""",Frau Ziegelman erinnerte sich: „Sie hat tatsächlich Leute krank gemacht.“,0.95,,2026-02-26T20:26:57.616480+00:00
51,"""We always tell victims not to pay up: that simply exacerbates the problem,"" explains Kleczynski.","""Wir sagen den Opfern immer: Zahlt nicht, ihr fördert damit nur das Problem"", erklärt Kleczynski.","„Wir raten Opfern immer, nicht zu zahlen: Das verschlimmert das Problem nur“, erklärt Kleczynski.",0.98,,2026-02-26T20:27:03.813014+00:00
52,"""We are currently seeing harmful software develop terrifyingly quickly,"" explains Malwarebytes' CEO, Marcin Kleczynski, in an interview with ""Die Welt"" newspaper.","""Wir beobachten aktuell eine erschreckend schnelle Evolution der Schadsoftware"", erklärt Malwarebytes-Chef Marcin Kleczynski im Gespräch mit der ""Welt"".","„Wir erleben derzeit, dass sich Schadsoftware erschreckend schnell entwickelt“, erklärt Malwarebytes-CEO Marcin Kleczynski in einem Interview mit der Zeitung „Die Welt“.",0.98,,2026-02-26T20:27:06.791406+00:00
53,"The ransomware encrypts these files, and deletes the originals for good.",Diese Dateien verschlüsselt die Ransomware und löscht die Originale nachhaltig.,Die Ransomware verschlüsselt diese Dateien und löscht die Originale endgültig.,0.98,,2026-02-26T20:27:09.336790+00:00
54,"Last August, The New York Times reported the existence of the Pentagon inspector general investigation, opened after complaints by Centcom analysts.","Im vergangenen August berichtete die New York Times von Ermittlungen durch den Generalinspekteur des Pentagon, die nach Beschwerden von Centcom Analysten aufgenommen wurden.","Letzten August berichtete die New York Times über die Existenz der Untersuchung des Generalinspekteurs des Pentagon, die nach Beschwerden von CENTCOM-Analysten eingeleitet wurde.",0.92,,2026-02-26T20:27:12.121418+00:00
55,It was hard not to admire Fiji's whole joyful approach.,Es war nicht schwer den spielerischen Ansatz Fijis zu bewundern.,"Es war schwer, Fidschis insgesamt fröhlichen Umgang nicht zu bewundern.",0.92,,2026-02-26T20:27:15.300800+00:00
56,During training the German pulled a ligament in his knee. At least it's clear who'll be wearing the number one jersey for Barca: Claudio Bravo.,"Der Deutsche erlitt im Training eine Bänderstauchung im Knie, womit die Einserfrage bei Barca zumindest vorerst zugunsten von Claudio Bravo geklärt ist.","Während des Trainings zog der Deutsche ein Band im Knie. Wenigstens ist klar, wer das Trikot mit der Nummer eins für Barca tragen wird: Claudio Bravo.",0.62,,2026-02-26T20:27:18.171512+00:00
57,"For Kerstin Neugebauer, who has been living in a block of flats next-door to controversial number 94 for 17 years, there can be no talk of uncertainty.","Für Kerstin Neugebauer, die seit 17 Jahren in einem Mietshaus neben der umstrittenen 94 wohnt, kann von Unsicherheit keine Rede sein.","Für Kerstin Neugebauer, die seit 17 Jahren in einem Mehrfamilienhaus neben dem umstrittenen Haus Nummer 94 lebt, kommt Unsicherheit nicht in Frage.",0.98,,2026-02-26T20:27:20.824216+00:00
58,Do the smiles convince?,Überzeugen die lächelnden Gesichter?,Überzeugen die Lächeln?,0.9,,2026-02-26T20:27:23.592130+00:00
59,This is generally used by large US banks.,Das nutzen gerade große US-Banken.,Dies wird allgemein von großen US-Banken verwendet.,0.98,,2026-02-26T20:27:26.801120+00:00
60,"""Groups such as the ""Identitäre Bewegung"" are trying to approach their target group on their level,"" said the head of constitutional protection.","""Gruppen wie die 'Identitäre Bewegung' versuchen, ihre Zielgruppe da abzuholen, wo sie steht"", sagte der Verfassungsschutzchef.","„Gruppierungen wie die ‚Identitäre Bewegung‘ versuchen, ihre Zielgruppe auf deren Niveau anzusprechen“, sagte der Verfassungsschutzpräsident.",0.92,,2026-02-26T20:27:29.564220+00:00
