id,src,ref,hyp,conf,parse_warnings,timestamp_utc
0,"Customers in Germany will not put up with that, broadly speaking.",Die Kunden in Deutschland werden sich das in der Breite nicht gefallen lassen.,Kunden in Deutschland werden das im Großen und Ganzen nicht hinnehmen.,0.96,,2026-02-26T20:01:00.591129+00:00
1,"""Queensland's community legal centres are chronically underfunded, meaning thousands of people are turned away from the vital services they need,"" he said.","""Queenslands Gemeinderechtszentren sind chronisch unterfinanziert, was bedeutet, dass tausende von Leuten von wichtigen Diensten, die Sie benötigen, abgewiesen werden,"" sagte er.","„Queenslands gemeinnützige Rechtsberatungsstellen sind chronisch unterfinanziert, was bedeutet, dass Tausende von Menschen von den lebenswichtigen Dienstleistungen, die sie benötigen, abgewiesen werden“, sagte er.",0.93,,2026-02-26T20:01:03.768345+00:00
2,Ankara is angry with the West for what it considers a weak response to the attempted takeover.,"Ankara ist auf den Westen wütend, da es dessen Reaktion auf die versuchte Machtübernahme als schwache Antwort betrachtet.","Ankara ist verärgert über den Westen wegen dessen, was es als eine schwache Reaktion auf den versuchten Umsturz betrachtet.",0.93,,2026-02-26T20:01:06.604634+00:00
3,"A Lille court ruled there was no legal basis for expelling the people running the 72 makeshift shops, but said the Calais prefect's concerns ""were totally understandable.""","Ein Gericht in Lille entschied, dass es keine rechtliche Grundlage für die Ausweisung von Leuten gäbe, die die 72 provisorischen Geschäfte betreiben, aber räumte ein, dass die Bedenken der Präfektur von Calais ""absolut nachvollziehbar seien.""","Ein Gericht in Lille entschied, dass es keine rechtliche Grundlage für die Ausweisung der Personen gebe, die die 72 provisorischen Geschäfte betreiben, sagte jedoch, die Bedenken des Präfekten von Calais seien ""völlig verständlich"".",0.93,,2026-02-26T20:01:09.530993+00:00
4,We live in a service economy.,Wir leben in einer Dienstleistungswirtschaft.,Wir leben in einer Dienstleistungswirtschaft.,0.99,,2026-02-26T20:01:11.629574+00:00
5,"We must bring more affordable and accessible gymnastics training to the communities of countless young girls who are inspired by Simone, Gabby and Laurie.","Wir müssen den Gemeinden aun unzähligen, jungen Mädchen, die von Simone, Gabby und Laurie inspiriert werden, ein leistbareres und leichter zugängliches Turntrainung ermöglichen.","Wir müssen den Gemeinden unzähliger junger Mädchen, die von Simone, Gabby und Laurie inspiriert sind, mehr bezahlbares und zugängliches Turntraining ermöglichen.",0.93,,2026-02-26T20:01:13.960640+00:00
6,"Some media outlets dubbed him ""Robel the whale"".","Einige Medien bezeichneten ihn als ""Robel der Wal"".","Einige Medien nannten ihn „Robel, den Wal“.",0.86,,2026-02-26T20:01:16.489755+00:00
7,But they always have in the back of their mind that a new group of refugees and migrants could soon be arriving in Urbach.,"Dabei haben sie immer im Hintergrund, dass bald ein neuer Stoß an Flüchtlingen und Migranten nach Urbach kommen könnte.","Aber sie haben immer im Hinterkopf, dass bald eine neue Gruppe von Flüchtlingen und Migranten in Urbach ankommen könnte.",0.97,,2026-02-26T20:01:19.030245+00:00
8,"""I realized it was the coffee and the culture at Verb that I liked,"" she said.","""Mir wurde klar, dass es am Kaffee und an der Kultur im Verb lag, die mir gefiel,"" sagte sie.","„Mir wurde klar, dass es der Kaffee und die Kultur bei Verb waren, die mir gefielen“, sagte sie.",0.96,,2026-02-26T20:01:21.760448+00:00
9,"But nevertheless, there were some breathtaking volleys to be seen.",Doch waren nichtsdestotrotz ausreichend atemberaubende Ballwechsel zu sehen.,Aber dennoch gab es einige atemberaubende Volley-Schläge zu sehen.,0.93,,2026-02-26T20:01:24.086107+00:00
10,"But, even on the off-chance that Ms Jenner - who is described by the magazine as the ""breakout model"" of her generation - falls into the former category, she is in pretty good company.","Aber selbst bei der geringen Chance, dass Frau Jenner - die von der Zeitschrift als das ""Durchbruchmodel"" ihrer Generation beschrieben wird - unter die frühere Kategorie fällt, befindet sie sich in guter Gesellschaft.","Aber selbst für den unwahrscheinlichen Fall, dass Ms Jenner – die von dem Magazin als das „Durchbruchmodel“ ihrer Generation beschrieben wird – in die erstgenannte Kategorie fällt, ist sie in ziemlich guter Gesellschaft.",0.93,,2026-02-26T20:01:26.771895+00:00
11,"""The benefits of the restructuring programme will only become visible after 5 years,"" he said.","""Die Früchte der Umstrukturierung sind aber auch nach 5 Jahren noch nicht zu sehen"", hieß es.","""Die Vorteile des Umstrukturierungsprogramms werden erst nach fünf Jahren sichtbar werden"", sagte er.",0.98,,2026-02-26T20:01:28.935933+00:00
