id,provider,model_id,difficulty_bucket,src,ref,hyp,conf,chrf,bleu,error_within_model_q20,parse_warnings
419,gemini,gemini-2.5-flash,Q3,"Anything less than heading back to her family's home in Spring, Texas, with a fistful of golds would be seen as a disappointment.","Nicht mit einer Handvoll Gold zurück zur Familie in Spring, Texas zurückkehren, wäre als Enttäuschung angesehen werden.",Alles andere,1.0,2.6757063149177958,0.0,1,translation_no_json;confidence_no_json;confidence_from_regex
148,anthropic,claude-haiku-4-5-20251001,Q2,"'Needless to say, there was no disrespect intended and I'm very sorry.'","Natürlich war keine Missachtung beabsichtigt und es tut mir sehr leid.""","Needless to say, there was no disrespect intended and I'm very sorry.",1.0,9.979187318453029,2.8398387225677895,1,
240,gemini,gemini-2.5-flash,Q2,"When a customer offered to bankroll him in a new outpost, he said he was excited to do it.","Als ihm ein Kunde anbot, Geldmittel für eine neue Außenstelle bereitzustellen, war er aufgeregt, es zu tun, sagte er.","Als ein Kunde anbot, ihn",1.0,17.181773200741265,2.674984333087479,1,translation_no_json;confidence_no_json;confidence_from_regex
110,gemini,gemini-2.5-pro,Q1,"However, volunteers are already aware of this.",Sensibilisiert seien die Helfer aber schon.,Die Freiwilligen sind sich dessen jedoch bereits bewusst.,1.0,17.969517296500513,4.767707020457095,1,
24,gemini,gemini-2.5-pro,Q1,Brilliant all over.,Auf ganzer Linie brilliant.,Rundum brillant.,1.0,18.77484530465136,14.127216461522432,1,
297,gemini,gemini-2.5-pro,Q1,Soon the company will start retailing the vehicle.,In Kürze will der Konzern den Handel mit dem Transporter starten.,Bald wird das Unternehmen mit dem Verkauf des Fahrzeugs beginnen.,1.0,19.97630793457443,7.574347133041985,1,
198,gemini,gemini-2.5-pro,Q1,This has not been noted.,Dies sei nicht erkennbar.,Dies wurde nicht vermerkt.,1.0,28.76004447690613,14.058533129758727,1,
78,gemini,gemini-2.5-pro,Q1,"""My job isn't about a retirement tour.""","""Mein Job beinhaltet keine Abschieds-Tour.""",Bei meinem Job geht es nicht um eine Abschiedstournee.,1.0,31.096823901949655,4.990049701936832,1,
59,gemini,gemini-2.5-pro,Q1,This is generally used by large US banks.,Das nutzen gerade große US-Banken.,Dies wird im Allgemeinen von großen US-Banken verwendet.,1.0,31.323318516523894,5.669791110976001,1,
473,gemini,gemini-2.5-pro,Q2,The country however was not mentioned among the states one can call directly from the room.,"Das Land war allerdings nicht zwischen den Ländern aufgelistet, die direkt aus dem Hotelzimmer angerufen werden können.","Das Land wurde jedoch nicht unter den Staaten erwähnt, die man direkt vom Zimmer aus anrufen kann.",1.0,31.32407524867601,7.012887580040735,1,
482,gemini,gemini-2.5-pro,Q1,"To me, his enthusiasm implied the opposite.",Mir schien sein Enthusiasmus eher das Gegenteil anzudeuten.,Für mich deutete seine Begeisterung auf das Gegenteil hin.,1.0,32.09159809910737,9.287528999566801,1,
123,gemini,gemini-2.5-pro,Q1,Sounds tricky?,Klingt schwierig?,Klingt knifflig?,1.0,32.896970486118285,34.66806371753173,1,
145,gemini,gemini-2.5-pro,Q2,"Despite that, according to Bratman, the situation in terms of the housing market is also hotting up.","Ungeachtet dessen, so Bratmann, bahne sich eine Verschärfung der Situation auf dem Wohnungsmarkt an.",Trotzdem heizt sich laut Bratman auch die Lage auf dem Wohnungsmarkt auf.,1.0,32.9522720930717,9.604706734275478,1,
358,gemini,gemini-2.5-pro,Q3,"There were another two explosions early on Friday morning, with another person killed, according to the authorities.","Freitagfrüh gingen dann erneut zwei Sprengsätze hoch, dabei wurde laut den Behörden ein weiterer Mensch getötet.","Am frühen Freitagmorgen gab es zwei weitere Explosionen, bei denen nach Angaben der Behörden eine weitere Person getötet wurde.",1.0,34.02369158219769,2.8423265381137037,1,
461,gemini,gemini-2.5-pro,Q1,"""To be honest, I don't really give a damn about things like that.""","""Ehrlich gesagt, sind mir diese Dinge eher schnuppe.""","Ehrlich gesagt, ist mir so etwas eigentlich scheißegal.",1.0,34.91613590533682,14.530346490115708,1,
197,gemini,gemini-2.5-pro,Q1,Then they fled.,Danach flohen sie.,Dann sind sie geflohen.,1.0,35.1815262736698,12.70331870386537,1,
300,gemini,gemini-2.5-pro,Q1,This led to some lorries hurtling through residential areas.,"Was dazu führte, dass sich mancher Lkw in Wohngebieten verfranste.","Dies führte dazu, dass einige Lastwagen durch Wohngebiete rasten.",1.0,35.51070589510016,8.606119900909883,1,
225,gemini,gemini-2.5-flash,Q1,Female cats react more sensitively than male cats to the mewls of their kittens,Katzen reagieren sensibler als Kater auf Schreie der Jungtiere,Weibliche Katzen reagieren empfindlicher als männliche Katzen auf das Miauen ihrer Kätzchen.,1.0,35.511031347388936,7.347053125977879,1,confidence_no_json;confidence_from_regex
225,gemini,gemini-2.5-pro,Q1,Female cats react more sensitively than male cats to the mewls of their kittens,Katzen reagieren sensibler als Kater auf Schreie der Jungtiere,Weibliche Katzen reagieren empfindlicher als männliche Katzen auf das Miauen ihrer Kätzchen,1.0,35.761894751770704,8.054496384843702,1,
288,gemini,gemini-2.5-pro,Q3,"""It's occurring within a residential area in front of a home,"" Howard said to CBS affiliate KPHO earlier this month.","""Es geschieht in einer Wohngegend vor einem Haus,"" teilte Howard der KHPO, einer Tochtergesellschaft von CBS, Anfang des Monats mit.","""Es ereignet sich in einem Wohngebiet vor einem Haus"", sagte Howard Anfang dieses Monats dem CBS-Partner KPHO.",1.0,36.15215192499425,8.338651605334334,1,
159,gemini,gemini-2.5-flash,Q2,Residents can now drive on both sides of the B 27 out of Ofterdingen.,Die Bürger können nun von Ofterdingen aus die B 27 wieder beidseitig befahren.,Anwohner können jetzt auf beiden Seiten der B 27 aus Ofterdingen fahren.,1.0,36.807998262831035,7.528851430380733,1,confidence_no_json;confidence_from_regex
11,gemini,gemini-2.5-pro,Q1,"""The benefits of the restructuring programme will only become visible after 5 years,"" he said.","""Die Früchte der Umstrukturierung sind aber auch nach 5 Jahren noch nicht zu sehen"", hieß es.","""Die Vorteile des Restrukturierungsprogramms werden erst nach 5 Jahren sichtbar"", sagte er.",1.0,36.89378541371249,10.774216987151187,1,
133,gemini,gemini-2.5-pro,Q1,It is unfair to show them volunteers on site.,"Eigentlich ist es unfair, sie Helfern vor Ort zu stellen.","Es ist unfair, ihnen Freiwillige vor Ort zu zeigen.",1.0,37.509220986635285,17.423472443716534,1,
150,gemini,gemini-2.5-pro,Q3,But clearly that has not stopped the internal resentment of Ethiopia's government from intensifying.,Aber offensichtlich hat dies nicht die Intensivierung der internen Missgunst der äthiopischen Regierung verhindert.,"Aber das hat den inneren Groll gegen die äthiopische Regierung offensichtlich nicht davon abgehalten, sich zu verstärken.",1.0,37.64610797438407,3.292916846800451,1,
414,gemini,gemini-2.5-pro,Q2,The Union and the SPD are consequently focusing more and more on the issue of security.,Union und SPD bringen sich beim Thema innere Sicherheit daher zunehmend in Stellung.,Union und SPD konzentrieren sich deshalb immer stärker auf das Thema Sicherheit.,1.0,37.87495453318682,13.159455544835676,1,
245,gemini,gemini-2.5-pro,Q1,He said he needed to reflect and analyse the reasons behind the debacle.,"Er müsse in Ruhe analysieren, welche Gründe zum Debakel geführt hätten.","Er sagte, er müsse nachdenken und die Gründe für das Debakel analysieren.",1.0,38.78376344608013,4.6192151051305474,1,
308,gemini,gemini-2.5-pro,Q3,"To prevent it from simply being stolen, it sinks down when measuring, making its wheels disappear into the armoured, bullet-proof exterior.","Damit er nicht einfach geklaut wird, ist er im Messbetrieb abgesenkt, so dass die Räder in der gepanzerten und übrigens auch schusssicheren Außenhülle verschwinden.","Um zu verhindern, dass es einfach gestohlen wird, senkt es sich beim Messen ab, wodurch seine Räder im gepanzerten, kugelsicheren Äußeren verschwinden.",1.0,38.95360037469629,4.935860893352708,1,
56,gemini,gemini-2.5-pro,Q4,During training the German pulled a ligament in his knee. At least it's clear who'll be wearing the number one jersey for Barca: Claudio Bravo.,"Der Deutsche erlitt im Training eine Bänderstauchung im Knie, womit die Einserfrage bei Barca zumindest vorerst zugunsten von Claudio Bravo geklärt ist.","Während des Trainings zog sich der Deutsche einen Bänderriss im Knie zu. Zumindest ist klar, wer bei Barca die Nummer eins tragen wird: Claudio Bravo.",1.0,39.932916656782865,5.1865993690957275,1,
12,gemini,gemini-2.5-pro,Q4,"The Comite River near Baton Rouge and Amite River near Denham Springs, both in Louisiana, were predicted to set record crests over the weekend.","Der Fluss Comite in der Nähe Baton Rouges und der Fluss Amite in der Nähe Denham Springs, die sich beide in Louisiana befinden, werden aller Wahrscheinlichkeit nach über das Wochenende Rekordpegel erreichen.","Für den Comite River bei Baton Rouge und den Amite River bei Denham Springs, beide in Louisiana, wurde vorhergesagt, dass sie am Wochenende Rekordwasserstände erreichen würden.",1.0,40.71940998256189,8.131194152892476,1,
74,gemini,gemini-2.5-pro,Q3,A front-row seat to the stunning architecture of the Los Angeles Central Library,Ein Sitz in der vordersten Reihe zur atemberaubenden Architektur der Zentralbibliothek von Los Angeles,Ein Logenplatz für die atemberaubende Architektur der Los Angeles Central Library,1.0,41.2991956793204,8.533010071785773,1,
395,gemini,gemini-2.5-pro,Q2,"You're not singing by yourself - and in a group of 50 people singing, who'll hear if a note's out here or there?","Man singt ja nicht allein - bei 50 singenden Menschen, wer hört da schon, wenn mal ein Ton daneben geht?","Du singst ja nicht allein – und wer soll bei einer Gruppe von 50 Leuten, die singen, schon hören, ob hier oder da ein Ton daneben ist?",1.0,41.803381553631866,9.279771067975602,1,
356,gemini,gemini-2.5-pro,Q1,The shop did not have CCTV.,Auch eine Videoüberwachung ist nicht vorhanden.,Der Laden hatte keine Videoüberwachung.,1.0,42.086506981979014,8.170609724417774,1,
468,gemini,gemini-2.5-pro,Q4,"Children and carers cooked their own favourite meals, such as mini German spätzle dumplings in a sour sauce, traditional Seebronner Pfännle and Iselshauser Bloff, English breakfast, and Tübingen-style bolognese.","Kulinarisch wurden Kinder und Betreuer mit deren selbst zubereiteten Leibspeisen wie den Sauren Spätzle, dem Seebronner Pfännle, Iselshauser-Bloff, dem Englischen-Breakfast und Tübinger Bolognese verwöhnt.","Kinder und Betreuer kochten ihre eigenen Lieblingsgerichte, wie zum Beispiel Mini-Spätzle in saurer Soße, das traditionelle Seebronner Pfännle und Iselshauser Bloff, englisches Frühstück und Bolognese nach Tübinger Art.",1.0,42.175931134156784,6.894470562943559,1,
368,gemini,gemini-2.5-pro,Q3,"""We all need to learn to put our phones down from time to time,"" said Janina Kugel, Siemens HR Director.","""Wir müssen alle lernen, das Smartphone auch mal wegzulegen"", sagte gerade Janina Kugel, im Siemens-Vorstand für Personal zuständig.","„Wir alle müssen lernen, unsere Handys von Zeit zu Zeit wegzulegen“, sagte Janina Kugel, Personalvorständin von Siemens.",1.0,42.186727681305506,9.41665329981294,1,
